HT	AD
CAST	AR
FMR1	XLD,XL
SYT1	AD
CHMP2B	AD
MYH7	AD,AR
FERMT1	AR
JPH2	AD
AIC	XLD
UBE2T	AR
SMARCA2	AD
PEX16	AR
GRXCR2	AR
BAAT	AR
PDSS2	AR
ACVR1	AD
CREB3L1	AR
CHD8	AD
MYP9	U
CANDF1	AD
NDUFB8	AR
AKT1	AD
PEX14	AR
SPTAN1	AD
ENUR2	AD
MID2	XLR
ARHGDIA	AR
ABCC6	AR,AD
HLA-G	AD
OCRL1	XLR
SNTA1	AD
NDUFV1	AR
ASPA	AR
MRT31	AR
SCZD12	AD
ACY1	AR
OTOG	AR
SGCE	AD
JPH1	AR
SH3TC2	AD,AR
RBM28	AR
SUGCT	AR
WNT5A	AD
CACT	AR
PBX1	AD
CEP57	AR
MYF5	AR
AP1S3	AD
TSPAN7	XLR
TUKLS	AR
ASCC1	AR
KCNK3	AD
RPL5	AD
DNASE1	AD
POLE	AR,AD
STAMBP	AR
TMEM98	AD
FANCA	AR
TNFRSF13B	AR
ARHGAP26	AD
ARHGEF18	AR
PROK2	AD
OFC14	AR
TBX19	AR
TMEM126B	AR
PTLAH	AD
BBS2	AR
SIX6	AR
SNCB	AD
RIPK4	AR
GYG1	AR
RPY	U
POLR1C	AR
SOST	AD,AR
FRTS1	AD
EEC1	AD
CALM2	AD
INSR	AR,AD
TDP2	AR
AMCN	AR
BAG3	AD
ALOXE3	AR
SAMD9	AD,AR
DMD	XL,XLR
MC1R	AR
TEX11	XLR
TSEN54	AR
TARS2	AR
PACS2	AD
SMPX	XLD
NCF2	AR
SDHAF2	AD
MC3R	U
HGF	AR
PEX19	AR
WNT2B	AR
ARV1	AR
POU3F4	XLR
AQP5	AD
LMNB2	AR,AD
GNAI3	AD
C1QBP	AR
SPEG	AR
LRRC6	AR
NFIA	AD
NAT8L	AR
USP8	AR
MECP2	XLR,XL,XLD
PDCD1	U
PSENEN	AD
SLC25A12	AR
TNPO3	AD
ATP6AP2	XLR
SLC4A11	AR
MMP1	AR
GPR143	XL
CA12	AR
TUBGCP4	AR
APP	AD
BPP	XLD
GRHL3	AD
HSPA9	AR,AD
RYR2	AD
TAPVR1	AD
DUH1	AD
MYCN	AD
VARS	AR
MIB1	AD
ACAN	AR,AD
MTND1	U
MGR6	AD
MTND6	AR
GJB1	XLD
MOCS2	AR
NDUFS1	AR
CPVT3	AR
DZIP1L	AR
KRT6C	AD
IGAN2	AD
DICER1	AD
P2RX2	AD
OPHN1	XLR
RB1	AR,AD
HADH	AR
BPGM	AR
CDK13	AD
RPS14	U
STRADA	AR
LAGE3	XLR
DIAPH2	XLD
ATP1A3	AD
TRAPPC2	XLR
TRPM6	AR
GSHR	AD
COL4A6	XLR,XL
ADAM22	AR
LRP2	AR
HSF4	AD
LMAN2L	AR
CYB5A	AR
COG2	AR
OFC13	AD
FGG	AR
CCDC103	AR
KLHL3	AD
SARDH	AR
TRAF7	AD
ZIC3	XLR
ABCC11	AD
RAB28	AR
GH1	AD,AR
PGAP2	AR
DIP2B	AD
HMGA2	U
TMPRSS15	AR
ALS2	AR
IL31RA	AD
CNPY3	AR
TBX1	AD
AK7	AR
PDA1	AR
TNFRSF11B	AR
MACF1	AD
ALPL	AD,AR
C8B	AR
DLX5	AD,AR
CCV	AD
LHCGR	AR
CLCN2	AD,AR
MDLS	AD
MTTS2	U
PITX3	AD
MASP2	AR
CNSN	AR
COX15	AR
PLEKHG2	AR
MRX45	XL
SAG	AR
BOS2	AD
STAR	AR
PROS1	AD,AR
MTO1	AR
SOX5	AD
CDK10	AR
HSD17B10	XLD
TRAC	AR
DFNA47	AD
SCA4	AD
PCCA	AR
NR3C1	AD
TEK	AD
DFNA27	AD
PGAM2	AR
ACTN4	AD
TAS2R16	U
CCL11	AD
CTRCT37	AD
ASD1	AD
IFT80	AR
CTRCT35	AR
CSNK1D	AD
RTTN	AR
MYO7A	AD,AR
ADCY5	AD
MTRR	AR
MLL2	AD
SRGAP1	AD
GPR56	AR
HBA1	AD
EBF3	AD
GP6	AR
BCKDHA	AR
IFNGR2	AR
DHX38	AR
PDLIM4	AD
C19orf12	AR
CISD2	AR
SBF2	AR
DFNX3	XL
CBX2	AR
LAMB3	AR,AD
CYBA	AR
STAT2	AR
HDAC6	XLD
CYP2R1	AR
EP300	AD
RUNX1	AD
WNK1	AR,AD
SLC25D1	AR
DWS	U
CYP3A5	U
CHRNA4	AD
ETV	AD
ATP2A1	AR
SLC12A6	AR
RPL26	AD
NOTCH2	AD
TXNDC3	AR
TMIE	AR
MTHFR	AD,AR
